Bin_center_value,Bin_counts,Land_type
0.135396877,16,smog
0.135703127,16,smog
0.136009377,11,smog
0.136315627,21,smog
0.136621877,21,smog
0.136928127,25,smog
0.137234377,22,smog
0.137540627,23,smog
0.137846877,25,smog
0.138153127,21,smog
0.138459377,19,smog
0.138765627,27,smog
0.139071877,21,smog
0.139378127,20,smog
0.139684377,26,smog
0.139990627,19,smog
0.140296877,18,smog
0.140603127,27,smog
0.140909377,32,smog
0.141215627,21,smog
0.141521877,29,smog
0.141828127,14,smog
0.142134377,31,smog
0.142440627,13,smog
0.142746877,48,smog
0.143053127,23,smog
0.143359377,17,smog
0.143665627,41,smog
0.143971877,30,smog
0.144278127,21,smog
0.144584377,11,smog
0.144890627,47,smog
0.145196877,6,smog
0.145503127,48,smog
0.145809377,17,smog
0.146115627,47,smog
0.146421877,18,smog
0.146728127,30,smog
0.147034377,21,smog
0.147340627,35,smog
0.147646877,31,smog
0.147953127,11,smog
0.148259377,49,smog
0.148565627,10,smog
0.148871877,33,smog
0.149178127,7,smog
0.149484377,27,smog
0.149790627,18,smog
0.150096877,35,smog
0.150403127,16,smog
0.150709377,22,smog
0.151015627,23,smog
0.151321877,25,smog
0.151628127,21,smog
0.151934377,28,smog
0.152240627,23,smog
0.152546877,26,smog
0.152853127,23,smog
0.153159377,22,smog
0.153465627,27,smog
0.153771877,19,smog
0.154078127,29,smog
0.154384377,20,smog
0.154690627,27,smog
0.154996877,18,smog
0.155303127,25,smog
0.155609377,21,smog
0.155915627,23,smog
0.156221877,13,smog
0.156528127,23,smog
0.156834377,9,smog
0.157140627,29,smog
0.157446877,25,smog
0.157753127,23,smog
0.158059377,31,smog
0.158365627,13,smog
0.158671877,19,smog
0.158978127,8,smog
0.159284377,32,smog
0.159590627,11,smog
0.159896877,43,smog
0.160203127,10,smog
0.160509377,38,smog
0.160815627,10,smog
0.161121877,28,smog
0.161428127,22,smog
0.161734377,23,smog
0.162040627,12,smog
0.162346877,24,smog
0.162653127,43,smog
